district_number,rep_name_1,party_1,county_1,rep_name_2,party_2,county_2,rep_name_3,party_3,county_3,rep_name_4,party_4,county_4,rep_name_5,party_5,county_5,household_benefit,economic_impact,children_in_eitc_households
1,Pat McGeehan,R,Hancock,Randy Swartzmiller,D,Hancock,,,,,,,,,,1756,"$873,923 ",3640
2,Phillip Diserio,D,Brooke,,,,,,,,,,,,,1665,"$382,034 ",1642
3,Shawn Fluharty,D,Ohio,Erikka Storch,R,Ohio,,,,,,,,,,1604,"$859,527 ",3579
4,Lisa Zukoff,D,Marshall,Joe Canestraro,D,Marshall,,,,,,,,,,5148,"$886,379 ",3451
5,Dave Pethtel,D,Wetzel,,,,,,,,,,,,,1547,"$404,338 ",1590
6,David Kelly,R,Tyler,,,,,,,,,,,,,1561,"$410,209 ",1613
7,Jason Harshbarger,R,Ritchie,,,,,,,,,,,,,6012,"$384,813 ",1539
8,Bill Anderson,R,Wood,,,,,,,,,,,,,4685,"$435,387 ",1812
9,Ray Hollen,R,Wirt,,,,,,,,,,,,,1599,"$499,875 ",1909
10,Vernon Criss,R,Wood,John Kelly,R,Wood,Tom Azinger,R,Wood,,,,,,,1394,"$1,723,643 ",6734
11,Martin Atkinson,R,Roane,,,,,,,,,,,,,1281,"$504,617 ",1915
12,Steve Westfall,R,Jackson,,,,,,,,,,,,,1480,"$461,079 ",1806
13,Scott Cadle,R,Mason,Joshua Higginbotham,R,Putnam,,,,,,,,,,1547,"$907,758 ",3626
14,Jim Butler,R,Mason,,,,,,,,,,,,,3253,"$478,207 ",1796
15,Geoff Foster,R,Putnam,,,,,,,,,,,,,3532,"$332,383 ",1344
16,Daniel Linville,R,Cabell,John Mandt,R,Cabell,Sean Hornbuckle,R,Cabell,,,,,,,1743,"$1,362,513 ",5599
17,Chad Lovejoy,D,Cabell,Matthew Rohrbach,R,Cabell,,,,,,,,,,1646,"$941,467 ",3838
18,Evan Worrell,R,Cabell,,,,,,,,,,,,,1660,"$398,432 ",1629
19,Kenneth Hicks,D,Wayne,Robert Thompson,D,Wayne,,,,,,,,,,1647,"$1,123,710 ",3945
20,Nathan Brown,D,Mingo,,,,,,,,,,,,,5740,"$525,011 ",1840
21,Mark Dean,R,Mingo,,,,,,,,,,,,,1485,"$575,400 ",2082
22,Joe Jeffries,R,Putnam,Zack Maynard,R,Lincoln,,,,,,,,,,4188,"$956,589 ",3437
23,Rodney Miller,D,Boone,,,,,,,,,,,,,5349,"$461,622 ",1567
24,Tim Tomblin,D,Logan,Ralph Rodighiero,D,Logan,,,,,,,,,,1400,"$1,025,704 ",3670
25,Tony Paynter,R,Wyoming,,,,,,,,,,,,,1543,"$522,564 ",1692
26,Ed Evans,D,McDowell,,,,,,,,,,,,,1712,"$580,210 ",1857
27,Joe Ellington,R,Mercer,Eric Porterfield,R,Mercer,John Shott,R,Mercer,,,,,,,1954,"$1,620,311 ",5838
28,Jeffrey Pack,R,Raleigh,Roy Cooper,R,Summers,,,,,,,,,,1691,"$881,491 ",3410
29,Brandon Steele,R,Raleigh,,,,,,,,,,,,,1665,"$581,133 ",2160
30,Mick Bates,D,Raleigh,,,,,,,,,,,,,1535,"$529,978 ",2048
31,Chris Toney,R,Raleigh,,,,,,,,,,,,,1463,"$546,852 ",1973
32,Kayla Kessinger,R,Fayette,Tom Fast,R,Fayette,Margaret Staggers,D,Fayette,,,,,,,1645,"$1,669,845 ",6332
33,Roger Hanshaw,R,Clay,,,,,,,,,,,,,2059,"$519,782 ",1903
34,Brent Boggs,D,Braxton,,,,,,,,,,,,,1523,"$489,368 ",1920
35,Doug Skaff,D,Kanawha,Andrew Byrd,D,Kanawha,Moore Capito,R,Kanawha,Eric Nelson,R,Kanawha,,,,1798,"$1,837,381 ",7395
36,Andrew Robinson,D,Kanawha,Amanda Estep-Burton,D,Kanawha,Larry Rowe,D,Kanawha,,,,,,,1643,"$1,473,846 ",5763
37,Mike Pushkin,D,Kanawha,,,,,,,,,,,,,1395,"$463,395 ",1967
38,Diana Graves,R,Kanawha,,,,,,,,,,,,,1140,"$420,365 ",1715
39,Sharon Malcolm,R,Kanawha,,,,,,,,,,,,,904,"$395,907 ",1576
40,Dean Jeffries,R,Kanawha,,,,,,,,,,,,,,"$462,317 ",1820
41,Jordan Hill,R,Nicholas,,,,,,,,,,,,,,"$483,636 ",1903
42,Jeff Campbell,D,Greenbrier,Cindy Lavender-Bowe,D,Greenbrier,,,,,,,,,,,"$1,009,017 ",4001
43,Cody Thompson,D,Randolph,William Hartman,D,Randolph,,,,,,,,,,,"$1,066,741 ",4344
44,Caleb Hannah,R,Webster,,,,,,,,,,,,,,"$572,892 ",2144
45,Carl Martin,R,Upshire,,,,,,,,,,,,,,"$522,668 ",2025
46,Patrick Martin,R,Lewis,,,,,,,,,,,,,,"$490,650 ",2042
47,Chris Phillips,R,Barbour,,,,,,,,,,,,,,"$505,311 ",2026
48,Terry Waxman,R,Harrison,Timothy Miley,D,Harrison,Danny Hamrick,R,Harrison,Ben Queen,R,Harrison,,,,,"$1,748,375 ",7060
49,Amy Summers,R,Tayler,,,,,,,,,,,,,,"$452,235 ",1827
50,Linda Longstreth,D,Marion,Michael Angelucci,D,Marion,Mike Caputo,D,Harrison,,,,,,,,"$1,261,425 ",5151
51,Evan Hanson,D,Monongalia,John Williams,D,Monongalia,Barbara Fleischauer,D,Monongalia,Danielle Walker,D,Monongalia,Rodney Pyles,D,Monongalia,,"$1,370,083 ",6579
52,Terry Sypolt,R,Preston,,,,,,,,,,,,,,"$418,311 ",1722
53,D Jennings,R,Preston,,,,,,,,,,,,,,"$450,232 ",1898
54,John Holt,R,Grant,,,,,,,,,,,,,,"$534,742 ",2106
55,Isaac Sponaugle,D,Pendleton,,,,,,,,,,,,,,"$640,803 ",2403
56,Gary Howell,R,Mineral,,,,,,,,,,,,,,"$545,165 ",2080
57,Ruth Rowan,R,Hampshire,,,,,,,,,,,,,,"$523,696 ",2048
58,Daryl Cowles,R,Morgan,,,,,,,,,,,,,,"$465,623 ",1888
59,Larry Kump,R,Berkeley,,,,,,,,,,,,,,"$430,895 ",1799
60,S Wilson,R,Berkeley,,,,,,,,,,,,,,"$509,692 ",2023
61,Jason Barrett,D,Berkeley,,,,,,,,,,,,,,"$640,226 ",2533
62,Tom Bibby,R,Berkeley,,,,,,,,,,,,,,"$456,879 ",1873
63,John Hardy,R,Berkeley,,,,,,,,,,,,,,"$560,198 ",2212
64,Eric Householder,R,Berkeley,,,,,,,,,,,,,,"$524,860 ",2021
65,Sammi Brown,D,Jefferson,,,,,,,,,,,,,,"$437,527 ",1716
66,Paul Espinosa,R,Jefferson,,,,,,,,,,,,,,"$345,617 ",1402
67,John Doyle,D,Jefferson,,,,,,,,,,,,,,"$244,830 ",1112
