district_number,rep_name_1,party_1,county_1,rep_name_2,party_2,county_2,household_benefit,economic_impact,children_in_eitc_households
1,Ryan Ferns,R,Ohio,Jack Yost,D,Brooke,7415,2316777,8402
2,Jeffrey Kessler,D,Marshall,Kent Leonhardt,R,Monongalia,7889,2583703,8735
3,Donna Boley,R,Pleasants,Bob Ashley,R,Roane,8807,2944051,10546
4,Mitch Carmichae,R,Jackson,Mike Hall,R,Putnam,6969,2355045,8605
5,Robert Plymale,D,Wayne,Mike Woelfel,D,Cabell,9085,2926696,10499
6,William Cole,R,Mercer,Mark Maynard,R,Wayne,9725,3584250,11748
7,Art Kirkendoll,D,Logan,Ron Stollings,D,Boone,7625,2739024,9086
8,Ed Gaunch,R,Kanawha,Chris Walters,R,Putnam,9146,3033829,10553
9,Daniel Hall,R,Wyoming,Jeff Mullins,R,Raleigh,8114,2746919,8692
10,William Laird,D,Fayette,Ronald Miller,D,Greenbrier,8714,2904223,9862
11,Greg Boso ,R, Nicholas,Robert Karnes,R,Upshur,9470,3146537,10429
12,Douglas Facemire,D,Braxton,Mike Romano,D,Harrison,8753,2862861,10039
13,Roman Prezioso,D,Marion,Robert Beach,D,Monongalia,6555,1901845,6567
14,Bob Williams,D,Taylor,Dave Sypolt,R,Preston,8816,2883693,10121
15,Craig Blair,R,Berkeley,Charles Trump,R,Morgan,8343,2738740,10301
16,Herb Snyder,D, Jefferson,John Unger,D,Berkeley,7842,2592933,9745
17,Corey Palumbo,D,Kanawha,Tom Takubo,R,Kanawha,7909,2619099,9036
