"district_number","rep_name_1","party_1","county_1","rep_name_2","party_2","county_2","household_benefit","economic_impact","children_in_eitc_households"
1,"Ryan Ferns","R","Ohio","Jack Yost","D","Brooke","7,415","$2,316,777","8,402"
2,"Jeffrey Kessler","D","Marshall","Kent Leonhardt","R","Monongalia","7,889","$2,583,703","8,735"
3,"Donna Boley","R","Pleasants","Bob Ashley","R","Roane","8,807","$2,944,051","10,546"
4,"Mitch Carmichae","R","Jackson","Mike Hall","R","Putnam","6,969","$2,355,045","8,605"
5,"Robert Plymale","D","Wayne","Mike Woelfel","D","Cabell","9,085","$2,926,696","10,499"
6,"William Cole","R","Mercer","Mark Maynard","R","Wayne","9,725","$3,584,250","11,748"
7,"Art Kirkendoll","D","Logan","Ron Stollings","D","Boone","7,625","$2,739,024","9,086"
8,"Ed Gaunch","R","Kanawha","Chris Walters","R","Putnam","9,146","$3,033,829","10,553"
9,"Daniel Hall","R","Wyoming","Jeff Mullins","R","Raleigh","8,114","$2,746,919","8,692"
10,"William Laird","D","Fayette","Ronald Miller","D","Greenbrier","8,714","$2,904,223","9,862"
11,"Greg Boso ","R"," Nicholas","Robert Karnes","R","Upshur","9,470","$3,146,537","10,429"
12,"Douglas Facemire","D","Braxton","Mike Romano","D","Harrison","8,753","$2,862,861","10,039"
13,"Roman Prezioso","D","Marion","Robert Beach","D","Monongalia","6,555","$1,901,845","6,567"
14,"Bob Williams","D","Taylor","Dave Sypolt","R","Preston","8,816","$2,883,693","10,121"
15,"Craig Blair","R","Berkeley","Charles Trump","R","Morgan","8,343","$2,738,740","10,301"
16,"Herb Snyder","D"," Jefferson","John Unger","D","Berkeley","7,842","$2,592,933","9,745"
17,"Corey Palumbo","D","Kanawha","Tom Takubo","R","Kanawha","7,909","$2,619,099","9,036"
