district_number,rep_name_1,political_party_1,county_1,rep_name_2,political_party_2,county_2,household_benefit,economic_impact
1,Ryan Ferns,R,Ohio,Jack Yost,D,Brooke,7415,2316777
2,Jeffrey Kessler,D,Marshall,Kent Leonhardt,R,Monongalia,7889,2583703
3,Donna Boley,R,Pleasants,Bob Ashley,R,Roane,8807,2944051
4,Mitch Carmichae,R,Jackson,Mike Hall,R,Putnam,"6,969","2,355,045"
5,Robert Plymale,D,Wayne,Mike Woelfel,D,Cabell,9085,2926696
6,William Cole,R,Mercer,Mark Maynard,R,Wayne,9725,3584250
7,Art Kirkendoll,D,Logan,Ron Stollings,D,Boone,7625,2739024
8,Ed Gaunch,R,Kanawha,Chris Walters,R,Putnam,9146,3033829
9,Daniel Hall,R,Wyoming,Jeff Mullins,R,Raleigh,8114,2746919
10,William Laird,D,Fayette,Ronald Miller,D,Greenbrier,8714,2904223
11,Greg Boso ,R, Nicholas,Robert Karnes,R,Upshur,9470,3146537
12,Douglas Facemire,D,Braxton,Mike Romano,D,Harrison,8753,2862861
13,Roman Prezioso,D,Marion,Robert Beach,D,Monongalia,6555,1901845
14,Bob Williams,D,Taylor,Dave Sypolt,R,Preston,8816,2883693
15,Craig Blair,R,Berkeley,Charles Trump,R,Morgan,8343,2738740
16,Herb Snyder,D, Jefferson,John Unger,D,Berkeley,7842,2592933
17,Corey Palumbo,D,Kanawha,Tom Takubo,R,Kanawha,7909,2619099
